Original Name,Test Case Name,Test Type,Label,Bridger Score
JAM'YAH TA'AWUN AL-ISLAMIA,JAM'YAH TA'AWUN AL-ISLAMIA,Fuzzy Match,Match,100
"GLOBOVISION TELE CA, CORP.","GLOBOVISION TELE CA, CORP.",Fuzzy Match,Match,100
KOREAN PEOPLE'S ARMY,KOREAN PEOPLE'S ARMY,Fuzzy Match,Match,100
RANCHO LA HERRADURA,RANCHO LA HERRADURA,Fuzzy Match,Match,100
"TECHNO ENERGY, S.A.","TECHNO ENERGY, S.A.",Fuzzy Match,Match,100
BAHMAN GROUP,BAHMAN GROUP,Fuzzy Match,Match,100
"RR TOUR, S.A. DE C.V.","RR TOUR, S.A. DE C.V.",Fuzzy Match,Match,100
HARAKAT UL-JIHAD-I-ISLAMI/BANGLADESH,HARAKAT UL-JIHAD-I-ISLAMI/BANGLADESH,Fuzzy Match,Match,100
FOURTH OCEAN GMBH & CO KG,FOURTH OCEAN GMBH & CO KG,Fuzzy Match,Match,100
QUANTLOG OY,QUANTLOG OY,Fuzzy Match,Match,100
"ZARIFAH, Ahmad","ZARIFAH, Ahmad",Fuzzy Match,Match,100
"KRNOJELAC, Milorad","KRNOJELAC, Milorad",Fuzzy Match,Match,100
"TREVINO MORALES, Omar","TREVINO MORALES, Omar",Fuzzy Match,Match,100
"AL-AJMI, Shafi Sultan Mohammed","AL-AJMI, Shafi Sultan Mohammed",Fuzzy Match,Match,100
"HEJEIJ, Kassem","HEJEIJ, Kassem",Fuzzy Match,Match,100
"ZAMBADA GARCIA, Ismael","ZAMBADA GARCIA, Ismael",Fuzzy Match,Match,100
"MITSUYASU, Katsuaki","MITSUYASU, Katsuaki",Fuzzy Match,Match,100
"AL-GHANDOUR, Abu Anas","AL-GHANDOUR, Abu Anas",Fuzzy Match,Match,100
"SIMIGIN, Pavel Vladimirovich","SIMIGIN, Pavel Vladimirovich",Fuzzy Match,Match,100
"GONZALEZ PARADA, Juvencio Ignacio","GONZALEZ PARADA, Juvencio Ignacio",Fuzzy Match,Match,100
CHERNOMORNEFTEGAZ,AN CHERNOMORNEFTEGAZ AN A,Fuzzy Match,Match,100
CASTLE HOLDING GMBH,OF CASTLE HOLDING GMBH A A,Fuzzy Match,Match,79
MOBILNYE PLATEZHI LIMITED LIABILITY COMPANY,OR MOBILNYE PLATEZHI LIMITED LIABILITY COMPANY OF A,Fuzzy Match,Match,96
VISCAYA LTDA.,OF VISCAYA LTDA. AN OR,Fuzzy Match,Match,76
CONSULTORIA EN CAMBIOS FALCON S.A. DE C.V.,A CONSULTORIA EN CAMBIOS FALCON S.A. DE C.V. OF OF,Fuzzy Match,Match,87
"GRANATURA, S. DE P.R. DE R.L. DE C.V.","A GRANATURA, S. DE P.R. DE R.L. DE C.V. OR A",Fuzzy Match,Match,72
BONYAD TAAVON BASIJ,AN BONYAD TAAVON BASIJ OF OR,Fuzzy Match,Match,97
"TSMRBANK, OOO","OR TSMRBANK, OOO OF OF",Fuzzy Match,Match,80
PUBLIC JOINT STOCK COMPANY ALROSA,A PUBLIC JOINT STOCK COMPANY ALROSA OF OR,Fuzzy Match,Match,80
